Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2022;50
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2021;51
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2020;41
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2019;41
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2018;42
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2017;41
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2016;51
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2015;48
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2014;45
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2013;42
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2012;41
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2025;20
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2024;18
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2023;15
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2022;23
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2021;21
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2020;23
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2019;22
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2018;18
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2017;21
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2016;22
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2015;22
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2014;12
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2013;11
Total Nacional;33 Asturias;33002 Aller;Educación, sanidad y servicios sociales;2012;11
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2025;52
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2024;50
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2023;48
Total Nacional;33 Asturias;33002 Aller;Otros servicios personales;2022;47
