Nacionalidad;Periodo;Total
Nigeria;1 de julio de 2024;..
Nigeria;1 de abril de 2024;..
Nigeria;1 de enero de 2024;..
Nigeria;1 de octubre de 2023;..
Nigeria;1 de julio de 2023;..
Nigeria;1 de abril de 2023;..
Senegal;1 de abril de 2026;..
Senegal;1 de enero de 2026;..
Senegal;1 de octubre de 2025;..
Senegal;1 de julio de 2025;..
Senegal;1 de abril de 2025;..
Senegal;1 de enero de 2025;..
Senegal;1 de octubre de 2024;..
Senegal;1 de julio de 2024;..
Senegal;1 de abril de 2024;..
Senegal;1 de enero de 2024;..
Senegal;1 de octubre de 2023;..
Senegal;1 de julio de 2023;..
Senegal;1 de abril de 2023;..
Otro país de África;1 de abril de 2026;..
Otro país de África;1 de enero de 2026;..
Otro país de África;1 de octubre de 2025;..
Otro país de África;1 de julio de 2025;..
Otro país de África;1 de abril de 2025;..
Otro país de África;1 de enero de 2025;..
Otro país de África;1 de octubre de 2024;..
Otro país de África;1 de julio de 2024;..
Otro país de África;1 de abril de 2024;..
Otro país de África;1 de enero de 2024;..
Otro país de África;1 de octubre de 2023;..
Otro país de África;1 de julio de 2023;..
Otro país de África;1 de abril de 2023;..
Estados Unidos de América;1 de abril de 2026;..
Estados Unidos de América;1 de enero de 2026;..
Estados Unidos de América;1 de octubre de 2025;..
Estados Unidos de América;1 de julio de 2025;..
Estados Unidos de América;1 de abril de 2025;..
Estados Unidos de América;1 de enero de 2025;..
Estados Unidos de América;1 de octubre de 2024;..
Estados Unidos de América;1 de julio de 2024;..
Estados Unidos de América;1 de abril de 2024;..
Estados Unidos de América;1 de enero de 2024;..
Estados Unidos de América;1 de octubre de 2023;..
Estados Unidos de América;1 de julio de 2023;..
Estados Unidos de América;1 de abril de 2023;..
México;1 de abril de 2026;..
México;1 de enero de 2026;..
México;1 de octubre de 2025;..
México;1 de julio de 2025;..
México;1 de abril de 2025;..
México;1 de enero de 2025;..
México;1 de octubre de 2024;..
México;1 de julio de 2024;..
México;1 de abril de 2024;..
México;1 de enero de 2024;..
México;1 de octubre de 2023;..
México;1 de julio de 2023;..
México;1 de abril de 2023;..
Canadá;1 de abril de 2026;..
Canadá;1 de enero de 2026;..
Canadá;1 de octubre de 2025;..
Canadá;1 de julio de 2025;..
Canadá;1 de abril de 2025;..
Canadá;1 de enero de 2025;..
Canadá;1 de octubre de 2024;..
Canadá;1 de julio de 2024;..
Canadá;1 de abril de 2024;..
Canadá;1 de enero de 2024;..
Canadá;1 de octubre de 2023;..
Canadá;1 de julio de 2023;..
Canadá;1 de abril de 2023;..
Cuba;1 de abril de 2026;..
Cuba;1 de enero de 2026;..
Cuba;1 de octubre de 2025;..
Cuba;1 de julio de 2025;5.800
Cuba;1 de abril de 2025;..
Cuba;1 de enero de 2025;..
Cuba;1 de octubre de 2024;..
Cuba;1 de julio de 2024;..
Cuba;1 de abril de 2024;..
Cuba;1 de enero de 2024;..
Cuba;1 de octubre de 2023;..
Cuba;1 de julio de 2023;..
Cuba;1 de abril de 2023;..
Honduras;1 de abril de 2026;7.400
Honduras;1 de enero de 2026;6.300
Honduras;1 de octubre de 2025;..
Honduras;1 de julio de 2025;6.400
Honduras;1 de abril de 2025;7.100
Honduras;1 de enero de 2025;7.300
Honduras;1 de octubre de 2024;5.600
Honduras;1 de julio de 2024;6.400
Honduras;1 de abril de 2024;7.300
Honduras;1 de enero de 2024;7.000
Honduras;1 de octubre de 2023;5.500
Honduras;1 de julio de 2023;7.600
Honduras;1 de abril de 2023;10.100
Nicaragua;1 de abril de 2026;..
Nicaragua;1 de enero de 2026;..
Nicaragua;1 de octubre de 2025;..
Nicaragua;1 de julio de 2025;..
Nicaragua;1 de abril de 2025;..
Nicaragua;1 de enero de 2025;..
Nicaragua;1 de octubre de 2024;..
Nicaragua;1 de julio de 2024;..
Nicaragua;1 de abril de 2024;..
Nicaragua;1 de enero de 2024;..
Nicaragua;1 de octubre de 2023;..
Nicaragua;1 de julio de 2023;..
Nicaragua;1 de abril de 2023;..
República Dominicana;1 de abril de 2026;..
República Dominicana;1 de enero de 2026;..
República Dominicana;1 de octubre de 2025;..
República Dominicana;1 de julio de 2025;..
República Dominicana;1 de abril de 2025;..
República Dominicana;1 de enero de 2025;..
República Dominicana;1 de octubre de 2024;..
República Dominicana;1 de julio de 2024;..
República Dominicana;1 de abril de 2024;..
República Dominicana;1 de enero de 2024;..
República Dominicana;1 de octubre de 2023;..
República Dominicana;1 de julio de 2023;..
República Dominicana;1 de abril de 2023;..
Otros países de Centro América y Caribe;1 de abril de 2026;..
Otros países de Centro América y Caribe;1 de enero de 2026;..
Otros países de Centro América y Caribe;1 de octubre de 2025;..
Otros países de Centro América y Caribe;1 de julio de 2025;..
Otros países de Centro América y Caribe;1 de abril de 2025;..
Otros países de Centro América y Caribe;1 de enero de 2025;..
Otros países de Centro América y Caribe;1 de octubre de 2024;..
Otros países de Centro América y Caribe;1 de julio de 2024;..
Otros países de Centro América y Caribe;1 de abril de 2024;..
Otros países de Centro América y Caribe;1 de enero de 2024;..
Otros países de Centro América y Caribe;1 de octubre de 2023;..
Otros países de Centro América y Caribe;1 de julio de 2023;..
Otros países de Centro América y Caribe;1 de abril de 2023;..
Argentina;1 de abril de 2026;..
Argentina;1 de enero de 2026;..
Argentina;1 de octubre de 2025;6.100
Argentina;1 de julio de 2025;6.700
Argentina;1 de abril de 2025;6.500
Argentina;1 de enero de 2025;7.300
Argentina;1 de octubre de 2024;7.300
